Município;Estado;Apólices contratadas;Total de Importância segurada (R$ mil);Total de Subvenção (R$ mil);Apólices indenizadas;índice de sinistralidade;grupo;grupo5;mun;uf;;;
Bossoroca;Rio Grande do Sul;15;3985965,1;143428,2;2;0,653132802;0;3;4302501;43;;;
Bozano;Rio Grande do Sul;21;2727247,1;86759,7;4;0,21389653;0;3;4302584;43;;;
Braga;Rio Grande do Sul;1;77600;3093,5;1;4,929321386;0;3;4302600;43;;;
Braganey;Paraná;71;9543088,1;424494;13;0,83616009;3;1;4103354;41;;;
Brasilândia do Sul;Paraná;83;17278795,7;594878,5;58;3,093768209;3;4;4103370;41;;;
Brunópolis;Santa Catarina;22;2439377,5;35997,3;2;0,102515414;0;3;4202875;42;;;
Buriti;-;3;283593,6;9711,7;0;0;0;3;0;-;;;
Butiá;Rio Grande do Sul;5;980387;34234,6;0;0;0;3;4302709;43;;;
Cacequi;Rio Grande do Sul;29;8753946;272908,6;1;0,085928286;0;1;4302907;43;;;
Cachoeira do Sul;Rio Grande do Sul;102;29350395,5;964387,5;16;0,232717156;3;4;4303004;43;;;
Cacique Doble;Rio Grande do Sul;10;882106,5;24670,2;0;0;0;3;4303202;43;;;
Cafeara;Paraná;45;2605631,9;92034;30;3,850644801;0;3;4103404;41;;;
Cafelândia;Paraná;167;20886282,5;728365;28;0,42985036;3;4;4103453;41;;;
Cafezal do Sul;Paraná;35;9765844,5;347748,4;23;3,563683651;3;1;4103479;41;;;
Caibaté;Rio Grande do Sul;4;469108,4;21637,6;0;0;0;3;4303301;43;;;
Caibi;Santa Catarina;1;94800;3154,8;0;0;0;3;4203105;42;;;
Califórnia;Paraná;59;5378079,9;176643,6;15;0,371015722;0;3;4103503;41;;;
Calmon;Santa Catarina;6;1531200,3;64897,4;0;0;0;3;4203154;42;;;
Camaquã;Rio Grande do Sul;24;9954754,4;134597;2;0,305615703;3;1;4303509;43;;;
Cambará;Paraná;178;12683443,7;527070,5;79;1,378662823;3;1;4103602;41;;;
Cambará do Sul;Rio Grande do Sul;3;1493969,1;92296,8;0;0;0;3;4303608;43;;;
Cambira;Paraná;77;3324952,3;162813,5;15;0,54834117;0;3;4103800;41;;;
Cambé;Paraná;259;24946169,5;1031470,2;77;0,953845675;3;4;4103701;41;;;
Campestre da Serra;Rio Grande do Sul;323;29815146;1180219,6;169;2,821039518;3;4;4303673;43;;;
Campina da Lagoa;Paraná;196;32016332,3;971170;43;0,774997432;1;4;4103909;41;;;
Campina das Missões;Rio Grande do Sul;1;20523,2;1400,1;0;0;0;3;4303707;43;;;
Campina do Simão;Paraná;8;2100533,4;86254,7;0;0;0;3;4103958;41;;;
Campinas do Sul;Rio Grande do Sul;1;13200;449,1;0;0;0;3;4303806;43;;;
Campo Alegre;Santa Catarina;3;80620;1041,1;0;0;0;3;4203303;42;;;
Campo Belo do Sul;Santa Catarina;12;3080088,1;76109,8;0;0;0;3;4203402;42;;;
Campo Bonito;Paraná;76;10056133,9;456454,6;16;0,710019213;3;1;4104055;41;;;
Campo Erê;Santa Catarina;17;3665448;124115,7;3;1,225571111;0;3;4203501;42;;;
