ano;especie;mun;n_macho_bov;n_macho_bub;n_fem_bov;n_fem_bub;doenca;teste;BRU Nº REAGENTES;BRU Nº POS´S
2014;BOV;Machado;NA;NA;NA;NA;BRU;AAT e 2ME;NA;1
2014;BOV;Arcos;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Ouro Fino;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Serra do Salitre;131;NA;111;NA;TUB;TCC;NA;NA
2014;BOV;Delta;NA;NA;NA;NA;BRU;AAT;1;NA
2014;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Cruzília;1;NA;75;NA;TUB;TCC;NA;NA
2014;BOV;Patrocínio;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Inhaúma;252;NA;3043;NA;TUB;TCC;NA;NA
2014;BOV;Serro;73;NA;140;NA;BRU e TUB;AAT e TCC;13;NA
2014;BOV;Unaí;9;NA;194;NA;TUB;TCC;NA;NA
2014;BOV;Abadia dos Dourados;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Caldas;2;NA;14;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Senador Cortes;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Argirita;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Coromandel;125;NA;225;NA;BRU e TUB;AAT e TCC;2;NA
2014;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Bom Despacho;NA;NA;NA;NA;BRU;AAT;22;NA
2014;BOV;Leopoldina;4;NA;17;NA;TUB;TCC;NA;NA
2014;BOV;Vazante;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Santa Juliana;46;NA;938;NA;BRU e TUB;AAT e TCC;1;NA
2014;BOV;Juiz de Fora;14;NA;16;NA;TUB;TCS;NA;NA
2014;BOV;Alvorada de Minas;NA;NA;NA;NA;BRU;AAT;1;NA
2014;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Uberlândia;53;NA;230;NA;TUB;TCC;NA;NA
2014;BOV;Machado;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Alvorada de Minas;NA;NA;NA;NA;BRU;AAT;1;NA
2014;BOV;Pequeri;NA;NA;NA;NA;BRU e TUB;AAT e TCC;1;NA
2014;BOV;Alto Rio Doce;0;NA;46;NA;TUB;TCC;NA;NA
2014;BOV;Machado;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Divinésia;4;NA;16;NA;BRU;AAT;1;NA
2014;BOV;Gurinhatã;6;NA;62;NA;TUB;TCC;NA;NA
2014;BOV;Juiz de Fora;NA;NA;NA;NA;TUB;TCS;NA;NA
2014;BOV;Serra do Salitre;NA;NA;NA;NA;BRU;AAT e 2ME;NA;1
2014;BOV;Itueta;0;NA;23;NA;TUB;TCS;NA;NA
2014;BOV;Pains;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Santa Rita de Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Alfenas;NA;NA;NA;NA;BRU;AAT e 2ME;NA;1
2014;BOV;Nova Serrana;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Passos;38;NA;159;NA;TUB;TCC;NA;NA
2014;BOV;Passos;NA;NA;NA;NA;TUB;TCC;NA;NA
2015;BOV;Viçosa;0;NA;6;NA;TUB;TCS;NA;NA
2015;BOV;Materlândia;475;NA;115;NA;TUB;TCS;NA;NA
2014;BOV;São José do Goiabal;5;NA;262;NA;BRU e TUB;AAT e TCC;1;NA
2015;BOV;Augusto de Lima;308;NA;378;NA;TUB;TCC;NA;NA
2015;BOV;Serra do Salitre;2;NA;139;NA;BRU e TUB;AAT e 2ME;11;9
2015;BOV;Bela Vista de Minas;NA;NA;NA;NA;BRU;AAT e 2ME;1;NA
2014;BOV;Ladainha;44;NA;106;NA;TUB;TCS;NA;NA
2015;BOV;São Domingos do Prata;8;NA;42;NA;TUB;TCC;NA;NA
2015;BOV;Carmo do Rio Claro;2;NA;555;NA;TUB;TCC;NA;NA
2015;BOV;São José da Varginha;20;NA;49;NA;BRU;2ME;NA;1
2015;BOV;São Sebastião do Paraíso;11;NA;44;NA;TUB;TCC;NA;NA
2015;BOV;Lima Duarte;2;NA;33;NA;BRU;AAT e 2ME;NA;1
2015;BOV;Santo Antônio do Aventureiro;33;NA;38;NA;TUB;TCS;NA;NA
2015;BOV;Argirita;4;NA;102;NA;TUB;TCS;NA;NA
2015;BOV;Abadia dos Dourados;42;NA;249;NA;BRU e TUB;AAT, 2ME e TCC;1;NA
2015;BOV;Guimarânia;21;NA;95;NA;TUB;TCS;NA;NA
2015;BOV;Serra do Salitre;16;NA;126;NA;TUB;TCS;NA;NA
2015;BOV;Serra do Salitre;0;NA;9;NA;TUB;TCS;NA;NA
2015;BOV;Patrocínio;15;NA;65;NA;TUB;TCS;NA;NA
2015;BOV;São José do Goiabal;115;NA;462;NA;TUB;TCC;NA;NA
2010;BOV;Teófilo Otoni;NA;NA;NA;NA;TUB;TCS;NA;NA
2015;BOV;Faria Lemos;56;NA;342;NA;TUB;TCC;NA;NA
2014;BOV;Cruzeiro da Fortaleza;0;NA;151;NA;TUB;TCC;NA;NA
2015;BOV;Cataguases;2;NA;70;NA;TUB;TCS;NA;NA
2015;BOV;Serra do Salitre;2;NA;126;NA;TUB;TCS;NA;NA
2015;BOV;Serra do Salitre;9;NA;95;NA;TUB;TCC;NA;NA
2015;BOV;Serra do Salitre;21;NA;316;NA;TUB;TCS;NA;NA
2015;BOV;Serra do Salitre;5;NA;86;NA;TUB;TCC e TCS;NA;NA
2015;BOV;Cruzeiro da Fortaleza;1;NA;104;NA;TUB;TCS;NA;NA
2015;BOV;Cruzeiro da Fortaleza;25;NA;463;NA;TUB;TCS;NA;NA
2015;BOV;Cruzeiro da Fortaleza;8;NA;100;NA;TUB;TCS;NA;NA
2015;BOV;Recreio;130;NA;328;NA;TUB;TCS;NA;NA
2015;BOV;Cruzeiro da Fortaleza;3;NA;146;NA;TUB;TCC;NA;NA
2015;BOV;Paulistas;1;NA;73;NA;TUB;TCS;NA;NA
2015;BOV;Pimenta;NA;NA;NA;NA;TUB;TCC;NA;NA
2015;BOV;Abadia dos Dourados;29;NA;685;NA;BRU e TUB;AAT e TCC;2;NA
2015;BOV;Pitangui;NA;NA;NA;NA;BRU;AAT;8;NA
2015;BOV;Juiz de Fora;6;NA;69;NA;BRU;AAT e 2ME;2;NA
2015;BOV;Rio Paranaíba;17;NA;23;NA;BRU;AAT e 2ME;3;NA
2015;BOV;Rio Paranaíba;37;NA;1;NA;TUB;TCC;NA;NA
2015;BOV;Juiz de Fora;28;NA;113;NA;TUB;TCS;NA;NA
2015;BOV;Divinésia;0;NA;23;NA;BRU;AAT;1;NA
2015;BOV;Pompéu;36;NA;161;NA;BRU;AAT e 2ME;NA;1
2015;BOV;Prata;6;NA;62;NA;BRU;AAT;7;NA
2015;BOV;Santa Cruz de Salinas;2;NA;10;NA;BRU;AAT e 2ME;NA;1
2015;BOV;Patos de Minas;25;NA;463;NA;TUB;TCC;NA;NA
2015;BOV;Argirita;4;NA;123;NA;BRU e TUB;AAT e TCC;3;NA
2015;BOV;Leopoldina;48;NA;148;NA;TUB;TCS;NA;NA
2015;BOV;Pirapetinga;0;NA;52;NA;TUB;TCS;NA;NA
2015;NA;Leopoldina;NA;NA;NA;NA;TUB;TCC;NA;NA
2015;BOV;Argirita;NA;NA;NA;NA;TUB;TCS;NA;NA
2015;BOV;Leopoldina;1;NA;10;NA;BRU;AAT e 2ME;NA;1
2015;BOV;Recreio;20;NA;73;NA;TUB;TCS;NA;NA
2015;BOV;Leopoldina;48;NA;152;NA;BRU;AAT e 2ME;2;NA
2015;BOV;Argirita;6;NA;14;NA;TUB;TCS;NA;NA
2015;BOV;Argirita;7;NA;82;NA;TUB;TCS;NA;NA
2015;BOV;Uberlândia;1;NA;16;NA;BRU;AAT;1;NA
2015;BOV;Patos de Minas;0;NA;325;NA;TUB;TCC;NA;NA
2015;BOV;Campo Florido;45;NA;4081;NA;BRU e TUB;AAT e TCC;NA;14
2015;BOV;Leopoldina;0;NA;75;NA;TUB;TCS;NA;NA
2015;BOV;Rio Preto;8;NA;50;NA;BRU;AAT e 2ME;1;NA
2015;BOV;Curvelo;2;NA;163;NA;TUB;TCC;NA;NA
2015;BOV;São Joaquim de Bicas;9;NA;23;NA;BRU;AAT;1;NA
2015;BOV;Patrocínio;1;NA;270;NA;TUB;TCC;NA;NA
